title,year,comment
I Am Legend,2007,"S02E05 (""Messianic Myths and Ancient Peoples"") → ""The Bible has been called the greatest story ever told."" ""Ben Lyons said the same thing about I Am Legend."""
Snakes on a Plane,2006,"S02E05 (""Messianic Myths and Ancient Peoples"") → ""My movie is the worst piece of crap I have ever seen in my entire life. How could I have been so blind? It's a self-indulgent, adolescent mess. I can barely sit through it. And now with all this hype, I've got a real Snakes on a Plane brewing."""
Star Trek II: The Wrath of Khan,1982,"S02E05 (""Messianic Myths and Ancient Peoples"") → ""All stories are about death and resurrection."" ""I've got one, Wrath of Khan."" ""That's a good one. Spock sacrifices himself for the crew and gets reborn. How captivating was Ricardo Montalban in that?"""
RoboCop,1987,"S02E05 (""Messianic Myths and Ancient Peoples"") → ""But is it a movie about Jesus? Is The Matrix? Is RoboCop? Is Superman Returns? All stories are about death and resurrection."""
Superman Returns,2006,"S02E05 (""Messianic Myths and Ancient Peoples"") → ""But is it a movie about Jesus? Is The Matrix? Is RoboCop? Is Superman Returns? All stories are about death and resurrection."""
The Wizard of Oz,1939,"S02E06 (""Epidemiology"") → Shirley as Glenda the Good Witch"
Aliens,1986,"S02E06 (""Epidemiology"")<br/>S05E13 (""Basic Sandwich"")"
The Empire Strikes Back,1980,"S02E06 (""Epidemiology"") → ""I love you."" ""I know."""
Alien,1979,"S02E06 (""Epidemiology"") → ""Troy, we have to rise to the occasion like Ripley and kick butt."""
The Secret Garden,1993,"S02E07 (""Aerodynamics of Gender"")"
Paranormal Activity,2007,"S02E08 (""Cooperative Calligraphy"") → ""Okay, so I see it as a lot like the movie Paranormal Activity, except for more boring and fancy.""<br/>S04E02 (""Paranormal Parentage"")"
Eyes Wide Shut,1999,"S02E09 (""Conspiracy Theories and Interior Design"")"
The Last Starfighter,1984,"S02E10 (""Mixology Certification"") → ""The Last Starfighter. Did you get the 25th anniversary Blu-Ray?"" ""Was Scorpius half-Skaran, half-Peacekeeper? Frell yes, I got Starfighter on Blu-Ray."""
Rudolph the Red-Nosed Reindeer,1964,"S02E11 (""Abed's Uncontrollable Christmas"")"
Willy Wonka & the Chocolate Factory,1971,"S02E11 (""Abed's Uncontrollable Christmas"") → ""A journey through Winter Wonderland tends to test your commitment to Christmas. So when I say test, I mean Wonka-style. I'm talking dark."""
The Polar Express,2004,"S02E11 (""Abed's Uncontrollable Christmas"")"
The Bloody Olive,1997,"S02E09 (""Conspiracy Theorists and Interior Design"")"
When Harry Met Sally...,1989,"S02E12 (""Asian Population Studies"")<br/>S03E15 (""Origins of Vampire Mythology"")"
Saw,2004,"S02E15 (""Early 21st Century Romanticism"") → ""And that is my analysis of the Saw movie franchise."""
My Dinner with Andre,1981,"S02E19 (""Critical Film Studies"")"
Pulp Fiction,1994,"S02E19 (""Critical Film Studies"")<br/>S03E19 (""Curriculum Unavailable"")"
For a Few Dollars More,1965,"S02E23 (""A Fistful of Paintballs (1)"")"
Blazing Saddles,1974,"S02E23 (""A Fistful of Paintballs (1)"")"
Star Wars,1977,"S02E24 (""For a Few Paintballs More (2)"") → ""In other words, we seem to have left the western motif and are entering a Star Wars scenario.""<br/>S06E08 (""Intro to Recycled Cinema"")"
Spartacus,1960,"S03E02 (""Geography of Global Conflict"")"
Run Lola Run,1998,"S03E04 (""Remedial Chaos Theory"")"
The Human Centipede (First Sequence),2009,"S03E05 (""Horror Fiction in Seven Spooky Steps"")"
Tron,1982,"S03E06 (""Advanced Gay"") → ""Tron?"" ""What's Tron?"""
Batman Forever,1995,"S03E07 (""Studies in Modern Movement"")"
Hearts of Darkness: A Filmmaker's Apocalypse,1991,"S03E08 (""Documentary Filmmaking: Redux"") → ""Ever seen Hearts of Darkness? Way better than Apocalypse Now."""
Invasion of the Body Snatchers,1978,"S03E10 (""Regional Holiday Music"")"
Patton,1970,"S03E12 (""Contemporary Impressionists"")"
True Lies,1994,"S03E12 (""Contemporary Impressionists"")<br/>S06E11 (""Modern Espionage"")"
Wall Street,1987,"S03E11 (""Urban Matrimony and the Sandwich Arts"")"
Inglourious Basterds,2009,"S03E14 (""Pillows and Blankets (2)"")"
First Blood,1982,"S03E14 (""Pillows and Blankets (2)"") → ""Blanketsburg has drawn First Blood; Pillowtown will draw First Blood Part II."""
Rambo: First Blood Part II,1985,"S03E14 (""Pillows and Blankets (2)"") → ""Blanketsburg has drawn First Blood; Pillowtown will draw First Blood Part II."""
The Thin Red Line,1998,"S03E14 (""Pillows and Blankets (2)"") → title sequence"
Blade,1998,"S03E15 (""Origins of Vampire Mythology"")"
Minority Report,2002,"S03E19 (""Curriculum Unavailable"")"
Ocean's Eleven,2001,"S03E21 (""The First Chang Dynasty"")"
Lost in Translation,2003,"S03E21 (""The First Chang Dynasty"")"
The Poseidon Adventure,1972,"S03E21 (""The First Chang Dynasty"") → ""Okay, okay, why don't you two slap-arounds give me your names for the report in case Chang wants to know why his birthday party turned into the frickin' Poseidon adventure."""
Back to the Future Part III,1990,"S03E22 (""Introduction to Finality"") → ""You’re average, Britta Perry. You’re every kid on the playground that didn’t get picked on. You’re business casual, a potted plant, a human white sale. You’re VH1, RoboCop 2, and Back to the Future III."""
The Hunger Games,2012,"S04E01 (""History 101"")"
Do the Right Thing,1989,"S04E02 (""Paranormal Parentage"")"
Die Hard: With a Vengeance,1995,"S04E04 (""Alternative History of the German Invasion"") → ""Don't worry. If there is one thing Germans don't do, it's hold a grudge."" ""Unless we're talking about Die Hard 3."" ""Or the 20th century."""
The Shawshank Redemption,1994,"S04E05 (""Cooperative Escapism in Familial Relations"")<br/>S05E11 (""G.I. Jeff"")"
Twins,1988,"S04E05 (""Cooperative Escapism in Familial Relations"")"
Vertigo,1958,"S04E06 (""Advanced Documentary Filmmaking"")"
The Muppets,2011,"S04E09 (""Intro to Felt Surrogacy"")"
Suicide Kings,1998,"S04E10 (""Intro to Knots"")"
Rope,1948,"S04E10 (""Intro to Knots"")"
Freaky Friday,2003,"S04E11 (""Basic Human Anatomy"")"
The Social Network,2010,"S05E01 (""Repilot"")<br/>S05E03 (""Basic Intergluteal Numismatics"") → children's choir version of Radiohead's Creep"
Face/Off,1997,"S05E02 (""Introduction to Teaching"")"
Zodiac,2007,"S05E03 (""Basic Intergluteal Numismatics"")"
Se7en,1995,"S05E03 (""Basic Intergluteal Numismatics"")"
Jaws,1975,"S05E03 (""Basic Intergluteal Numismatics"")"
Fight Club,1999,"S05E03 (""Basic Intergluteal Numismatics"") → buckets catching water from leaky ceiling<br/>S06E11 (""Modern Espionage"") → ""The first rule of Club Club is that we are not a fight club."""
Catfish,2010,"S05E04 (""Cooperative Polygraphy"")"
The Grey,2011,"S05E04 (""Cooperative Polygraphy"") → ""Is that why my review of The Grey keeps changing?"" ""Yes, stop giving it four stars."" ""I like Liam Neeson."" ""Then send him a message about the roles he chooses."""
Léon: The Professional,1994,"S05E04 (""Cooperative Polygraphy"") → ""BRING ME EVERYONE.""<br/>S05E06 (""Analysis of Cork-Based Networking"") → ""BRING ME EVERYONE."""
Waterworld,1995,"S05E05 (""Geothermal Escapism"")"
Return of the Jedi,1983,"S05E05 (""Geothermal Escapism"")"
The Sixth Sense,1999,"S05E07 (""Bondage and Beta Male Sexuality"")"
Zardoz,1974,"S05E08 (""App Development and Condiments"")"
Logan's Run,1976,"S05E08 (""App Development and Condiments"")"
Superman,1978,"S05E08 (""App Development and Condiments"")"
The Dark Knight Rises,2012,"S05E08 (""App Development and Condiments"")"
National Lampoon's Van Wilder,2002,"S05E08 (""App Development and Condiments"")"
Looper,2012,"S05E10 (""Advanced Advanced Dungeons & Dragons"") → ""Sir Joseph Gordon Die Hard"""
Blade Runner,1982,"S06E01 (""Ladders"") → ""Like tears in rain."""
Miller's Crossing,1990,"S06E01 (""Ladders"") → ""What's the rumpus?"" ""Miller's Crossing."""
The Lawnmower Man,1992,"S06E02 (""Lawnmower Maintenance & Postnatal Care"") → ""I mean, Michael Douglas walking around like a jackass, moving files with a magic glove? Lawnmower Man? Did you see Lawnmower Man?"" ""You bet your sweet ass I saw Lawnmower Man. I consulted on it. Took Brigitte Nielsen to the premiere. We were building worlds within worlds."""
Can't Hardly Wait,1998,"S06E05 (""Laws of Robotics & Party Rights"") → ""I see the real-time stakes of Can't Hardly Wait, the subversive raunch of Risky Business, and the mumbly pointlessness of everything after 2003."""
Risky Business,1983,"S06E05 (""Laws of Robotics & Party Rights"") → ""I see the real-time stakes of Can't Hardly Wait, the subversive raunch of Risky Business, and the mumbly pointlessness of everything after 2003."""
Ghostbusters,1984,"S06E05 (""Laws of Robotics and Party Rights"") → ""Please tell me that won't be my role in this group. I have a brain the size of Jupiter. I'm nobody's fourth Ghostbuster."""
Avengers: Age of Ultron,2015,"S06E06 (""Basic Email Security"") → ""Stoked for Avengers, Avengers, Avengers, Avengers? I hear Marvel got really hands on this time, they really pinned in Joss Whedon creatively, so how can that go wrong?"""
Mask,1985,"S06E06 (""Basic Email Security"") → ""Is there another Mask movie coming out?"""
Houseguest,1995,"S06E06 (""Basic Email Security"") → ""Then let's see you type more descriptions of my Houseguest-era Sinbad wardrobe."""
Donnie Darko,2001,"S06E06 (""Basic Email Security"") → ""Unless you're too busy telling your girlfriend I don't understand Donnie Darko."""
Chariots of Fire,1981,"S06E07 (""Advanced Safety Features"") → ""When I influence people to buy Honda products, I feel God's pleasure."" ""That's from Chariots of Fire. I love Chariots of Fire."" ""So do I."""
Guardians of the Galaxy,2014,"S06E08 (""Intro to Recycled Cinema"") → ""I finally know in my heart, that I will literally be the last one of us here. And I know, they gave digital muscles to Chris Pratt in Guardians of the Galaxy. I watched Parks and Rec. I watched it. There's no scientific explanation for..."""
Midnight Cowboy,1969,"S06E08 (""Intro to Recycled Cinema"") → ""That's like cutting Cowboy out of Midnight Cowboy."""
American Graffiti,1973,"S06E08 (""Intro to Recycled Cinema"") → But I can't just burn up my cop drama. It's my only chance at the mainstream success I need before I'm allowed to make weird stuff for money. It's my American Graffiti, my Elephant Man, my Four Rooms, the Robert Rodriguez segment."""
The Elephant Man,1980,"S06E08 (""Intro to Recycled Cinema"") → But I can't just burn up my cop drama. It's my only chance at the mainstream success I need before I'm allowed to make weird stuff for money. It's my American Graffiti, my Elephant Man, my Four Rooms, the Robert Rodriguez segment."""
Four Rooms,1995,"S06E08 (""Intro to Recycled Cinema"") → But I can't just burn up my cop drama. It's my only chance at the mainstream success I need before I'm allowed to make weird stuff for money. It's my American Graffiti, my Elephant Man, my Four Rooms, the Robert Rodriguez segment."""
Chinatown,1974,"S06E08 (""Intro to Recycled Cinema"") → ""It's hot. It's like Chinatown in space."""
The Grifters,1990,"S06E09 (""Grifting 101"") → ""I've always wanted to learn more about grifting ever since I saw 1990's The Grifters."""
Matchstick Men,2003,"S06E09 (""Grifting 101"") → ""We could watch another grifter movie. There's more activity in Matchstick Men."""
The Sting,1973,"S06E09 (""Grifting 101"")"
Hotel Rwanda,2004,"S06E10 (""Basic RV Repair and Palmistry"") → ""So I rented Hotel Rwanda the other night. And let me just say, not a date movie."""
Casablanca,1942,"S06E11 (""Modern Espionage"")"
Iron Man,2008,"S06E11 (""Modern Espionage"") → ""We are Robert Downey Jr. He was so high he was crawling into people's windows. Now he's Iron Man."""
Captain America: The Winter Soldier,2014,"S06E11 (""Modern Espionage"") → Dean ambushed in elevator"
Dreamcatcher,2003,"S06E13 (""Emotional Consequences of Broadcast Television"") → ""Our mission is finally accomplished, once and for all, so what do we call ourselves now?"" ""The accomplishers."" ""The obsoletists."" ""Steven King's dreamcatchers."""
